date,Average_NDVI,Deforestation_Percentage
2020-06-14,0.3607368315051771,0.0
2020-07-16,0.2853798291972149,20.88974446926713
2020-08-17,0.2748216840319361,23.816572074096076
2020-09-18,0.2675783101860216,25.82451060803825
2020-10-04,0.2771028449526132,23.184210551387405
2020-11-21,0.2061771007389682,42.84556420848608
2020-12-07,0.2940968871371838,18.47328538367919
2021-01-24,0.2954364134227796,18.101954771274954
2021-02-09,0.286285511400914,20.638679946711957
2021-03-29,0.3042120334020405,15.669261679570246
2021-04-14,0.2736957131173168,24.12870291749268
2021-05-16,0.3193338038352628,11.477349705922704
2021-06-01,0.3371647425640866,6.534428115569961
2021-07-19,0.3377460687919957,6.373278441586426
2021-08-20,0.314999290464687,12.67892187488865
2021-09-21,0.3271938847873155,9.298453550723785
2021-10-07,0.3063294359624603,15.082295676796162
2021-12-26,0.2546003555823875,29.42213454609953
2022-04-01,0.2683955328102725,25.597968000553156
2022-06-04,0.3269347425393418,9.37029047596716
2022-09-24,0.3110865846553151,13.76356460267614
2022-11-27,0.1374835704720201,61.8881249529279
2022-12-13,0.3117477526518428,13.580281960377324
2023-01-30,0.2973595535778523,17.568840326861725
2023-03-19,0.2837125183952418,21.351940357337725
2023-05-22,0.3574377554842197,0.9145381709962899
2022-01-19,0.3216763126649302,10.827981905054333
2022-02-04,0.3238876199003163,10.214984550124036
2022-03-08,0.249935914435022,30.715166124800025
2022-05-27,0.2790775176767986,22.636810743071173
2022-07-14,0.2822746193890892,21.75054091058674
2022-08-15,0.3401878683832124,5.696386209365977
2022-10-18,0.2436768605249719,32.450240939294055
2023-02-23,0.2653557010792457,26.440640959214758
2023-04-12,0.2921701292217043,19.00740270888828
2023-06-15,0.3504758734219314,2.84444425606106
2023-07-17,0.3115793036387301,13.626977778048571
2023-08-02,0.2926869229664546,18.864142110131578
